Simulation:,Air Resistance
Trajectory,X,Y
Angle 45,0,0
Angle 45,49.3588817539458,49.2608817539458
Angle 45,98.5800823604754,98.2863557206483
Angle 45,147.664505071415,147.077595684994
Angle 45,196.613044714026,195.635764214701
Angle 45,245.42658779467,243.962012797975
Angle 45,294.10601260088,292.057481979043
Angle 45,342.652189301854,339.923301491604
Angle 45,391.065980047398,387.560590390237
Angle 45,439.348239065361,434.970457179806
Angle 45,487.499812757577,482.153999942888
Angle 45,535.521539794344,529.112306465278
Angle 45,583.414251207471,575.846454359588
Angle 45,631.178770481916,622.357511186983
Angle 45,678.815913646031,668.646534577091
Angle 45,726.326489360466,714.714572346115
Angle 45,773.711299005716,760.562662613174
Angle 45,820.971136768377,806.191833914923
Angle 45,868.106789726103,851.603105318455
Angle 45,915.119037931302,896.797486532548
Angle 45,962.008654493589,941.775978017256
Angle 45,1008.77640566102,986.539571091898
Angle 45,1055.42305090013,1031.08924804145
Angle 45,1101.94934297478,1075.4259822214
Angle 45,1148.35602802386,1119.55073816104
Angle 45,1194.64384563786,1163.46447166531
Angle 45,1240.81352893431,1207.16812991509
Angle 45,1286.86580463213,1250.66265156613
Angle 45,1332.80139312489,1293.94896684647
Angle 45,1378.62100855301,1337.02799765252
Angle 45,1424.32535887498,1379.90065764375
Angle 45,1469.91514593743,1422.56785233597
Angle 45,1515.39106554431,1465.03047919341
Angle 45,1560.75380752503,1507.28942771932
Angle 45,1606.00405580162,1549.34557954547
Angle 45,1651.14248845497,1591.19980852021
Angle 45,1696.16977779008,1632.85298079544
Angle 45,1741.08659040045,1674.30595491226
Angle 45,1785.89358723149,1715.55958188547
Angle 45,1830.59142364308,1756.61470528686
Angle 45,1875.18074947126,1797.47216132736
Angle 45,1919.66220908901,1838.13277893806
Angle 45,1964.03644146624,1878.59737985008
Angle 45,2008.3040802289,1918.86677867335
Angle 45,2052.46575371727,1958.94178297433
Angle 45,2096.52208504347,1998.82319335261
Angle 45,2140.47369214816,2038.5118035165
Angle 45,2184.32118785646,2078.00840035761
Angle 45,2228.06517993305,2117.31376402437
Angle 45,2271.70627113666,2156.42866799454
Angle 45,2315.24505927361,2195.35387914684
Angle 45,2358.68213725081,2234.09015783145
Angle 45,2402.01809312789,2272.63825793975
Angle 45,2445.25351016873,2310.99892697297
Angle 45,2488.38896689223,2349.17290610997
Angle 45,2531.42503712241,2387.16093027418
Angle 45,2574.36229003784,2424.96372819955
Angle 45,2617.20129022043,2462.58202249572
Angle 45,2659.94259770346,2500.0165297122
Angle 45,2702.58676801915,2537.26796040186
Angle 45,2745.1343522454,2574.33701918349
Angle 45,2787.58589705204,2611.22440480352
Angle 45,2829.94194474643,2647.930810197
Angle 45,2872.20303331844,2684.45692254777
Angle 45,2914.36969648482,2720.80342334779
Angle 45,2956.44246373305,2756.97098845578
Angle 45,2998.42186036455,2792.96028815503
Angle 45,3040.30840753735,2828.77198721053
Angle 45,3082.1026223082,2864.40674492532
Angle 45,3123.80501767412,2899.86521519612
Angle 45,3165.41610261343,2935.14804656826
Angle 45,3206.93638212621,2970.25588228992
Angle 45,3248.36635727429,3005.18936036568
Angle 45,3289.70652522064,3039.94911360933
Angle 45,3330.95737926837,3074.5357696961
Angle 45,3372.11940889908,3108.94995121419
Angle 45,3413.19309981088,3143.19227571561
Angle 45,3454.17893395575,3177.2633557665
Angle 45,3495.07738957661,3211.16379899667
Angle 45,3535.8889412437,3244.89420814864
Angle 45,3576.61405989074,3278.45518112599
Angle 45,3617.2532128504,3311.84731104121
Angle 45,3657.80686388948,3345.07118626281
Angle 45,3698.27547324358,3378.12739046199
Angle 45,3738.65949765133,3411.01650265869
Angle 45,3778.95939038823,3443.73909726698
Angle 45,3819.17560129999,3476.29574414008
Angle 45,3859.30857683553,3508.68700861465
Angle 45,3899.35876007953,3540.91345155466
Angle 45,3939.32659078456,3572.97562939467
Angle 45,3979.21250540287,3604.8740941826
Angle 45,4019.01693711769,3636.60939362199
Angle 45,4058.74031587422,3668.18207111374
Angle 45,4098.3830684102,3699.59266579738
Angle 45,4137.94561828613,3730.84171259178
Angle 45,4177.42838591508,3761.92974223544
Angle 45,4216.83178859216,3792.85728132627
Angle 45,4256.15624052363,3823.62485236091
Angle 45,4295.40215285563,3854.23297377356
Angle 45,4334.56993370255,3884.68215997439
Angle 45,4373.65998817515,3914.97292138746
Angle 45,4412.67271840816,3945.10576448822
Angle 45,4451.60852358776,3975.08119184053
Angle 45,4490.46779997852,4004.89970213336
Angle 45,4529.25094095015,4034.56179021687
Angle 45,4567.95833700389,4064.06794713829
Angle 45,4606.59037579857,4093.4186601772
Angle 45,4645.14744217635,4122.61441288052
Angle 45,4683.62991818818,4151.65568509705
Angle 45,4722.03818311893,4180.5429530116
Angle 45,4760.37261351223,4209.2766891788
Angle 45,4798.633583195,4237.8573625564
Angle 45,4836.82146330173,4266.28543853834
Angle 45,4874.9366222984,4294.56137898733
Angle 45,4912.97942600619,4322.68564226707
Angle 45,4950.95023762483,4350.65868327423
Angle 45,4988.84941775576,4378.48095346987
Angle 45,5026.67732442497,4406.15290091069
Angle 45,5064.43431310555,4433.67497027982
Angle 45,5102.12073674,4461.04760291731
Angle 45,5139.73694576232,4488.27123685026
Angle 45,5177.28328811974,4515.34630682266
Angle 45,5214.76010929429,4542.27324432483
Angle 45,5252.16775232409,4569.05247762258
Angle 45,5289.50655782433,4595.68443178606
Angle 45,5326.77686400814,4622.16952871828
Angle 45,5363.97900670705,4648.50818718327
Angle 45,5401.11331939137,4674.70082283402
Angle 45,5438.18013319023,4700.74784824006
Angle 45,5475.1797769114,4726.64967291477
Angle 45,5512.11257706095,4752.40670334232
Angle 45,5548.97885786262,4778.01934300447
Angle 45,5585.77894127695,4803.48799240691
Angle 45,5622.51314702027,4828.81304910546
Angle 45,5659.18179258339,4853.99490773188
Angle 45,5695.78519325015,4879.0339600195
Angle 45,5732.32366211566,4903.9305948285
Angle 45,5768.79751010445,4928.68519817098
Angle 45,5805.20704598833,4953.29815323572
Angle 45,5841.55257640406,4977.76984041272
Angle 45,5877.83440587087,5002.10063731745
Angle 45,5914.05283680768,5026.29091881489
Angle 45,5950.20816955024,5050.34105704324
Angle 45,5986.30070236803,5074.2514214375
Angle 45,6022.3307314809,5098.02237875267
Angle 45,6058.29855107564,5121.65429308686
Angle 45,6094.20445332231,5145.14752590401
Angle 45,6130.04872839035,5168.50243605651
Angle 45,6165.83166446457,5191.71937980749
Angle 45,6201.55354776094,5214.79871085296
Angle 45,6237.21466254219,5237.74078034364
Angle 45,6272.81529113323,5260.5459369067
Angle 45,6308.35571393645,5283.2145266671
Angle 45,6343.83620944678,5305.74689326889
Angle 45,6379.25705426665,5328.14337789619
Angle 45,6414.61852312071,5350.40431929402
Angle 45,6449.92088887046,5372.53005378884
Angle 45,6485.16442252866,5394.52091530902
Angle 45,6520.34939327364,5416.37723540496
Angle 45,6555.47606846338,5438.09934326913
Angle 45,6590.54471364949,5459.68756575585
Angle 45,6625.55559259105,5481.14222740087
Angle 45,6660.50896726819,5502.46365044082
Angle 45,6695.4050978957,5523.65215483243
Angle 45,6730.2442429363,5544.70805827153
Angle 45,6765.02665911391,5565.63167621196
Angle 45,6799.75260142669,5586.42332188418
Angle 45,6834.42232316001,5607.08330631382
Angle 45,6869.03607589917,5627.61193833998
Angle 45,6903.59410954211,5648.00952463338
Angle 45,6938.09667231189,5668.2763697143
Angle 45,6972.54401076908,5688.41277597045
Angle 45,7006.93636982397,5708.41904367454
Angle 45,7041.27399274873,5728.29547100179
Angle 45,7075.55712118935,5748.04235404725
Angle 45,7109.78599517749,5767.65998684291
Angle 45,7143.96085314224,5787.14866137473
Angle 45,7178.08193192167,5806.50866759943
Angle 45,7212.14946677432,5825.74029346124
Angle 45,7246.16369139055,5844.84382490836
Angle 45,7280.12483790376,5863.81954590937
Angle 45,7314.03313690154,5882.66773846944
Angle 45,7347.88881743657,5901.38868264646
Angle 45,7381.69210703758,5919.98265656692
Angle 45,7415.44323172007,5938.44993644173
Angle 45,7449.14241599694,5956.7907965819
Angle 45,7482.78988288904,5975.00550941403
Angle 45,7516.38585393558,5993.09434549567
Angle 45,7549.93054920443,6011.05757353061
Angle 45,7583.42418730235,6028.89546038398
Angle 45,7616.86698538504,6046.60827109719
Angle 45,7650.25915916715,6064.19626890284
Angle 45,7683.60092293214,6081.65971523939
Angle 45,7716.8924895421,6098.99886976578
Angle 45,7750.13407044737,6116.21399037589
Angle 45,7783.32587569614,6133.30533321291
Angle 45,7816.46811394393,6150.27315268352
Angle 45,7849.56099246296,6167.11770147203
Angle 45,7882.6047171514,6183.83923055436
Angle 45,7915.5994925426,6200.43798921189
Angle 45,7948.54552181413,6216.91422504523
Angle 45,7981.44300679679,6233.26818398787
Angle 45,8014.2921479835,6249.50011031967
Angle 45,8047.09314453813,6265.61024668032
Angle 45,8079.84619430418,6281.59883408261
Angle 45,8112.55149381343,6297.46611192564
Angle 45,8145.20923829448,6313.21231800793
Angle 45,8177.81962168116,6328.83768854037
Angle 45,8210.38283662096,6344.34245815913
Angle 45,8242.89907448323,6359.72685993842
Angle 45,8275.36852536746,6374.99112540318
Angle 45,8307.79137811129,6390.13548454167
Angle 45,8340.16782029864,6405.16016581792
Angle 45,8372.49803826757,6420.06539618413
Angle 45,8404.7822171182,6434.85140109293
Angle 45,8437.02054072047,6449.51840450963
Angle 45,8469.21319172186,6464.06662892425
Angle 45,8501.36035155502,6478.49629536357
Angle 45,8533.4622004453,6492.807623403
Angle 45,8565.51891741827,6507.00083117846
Angle 45,8597.53068030709,6521.07613539806
Angle 45,8629.49766575984,6535.0337513538
Angle 45,8661.4200492468,6548.87389293306
