Simulation:,Density Correction
Trajectory,X,Y
Angle 45,0,0
Angle 45,49.3588817539458,49.2608817539458
Angle 45,98.5807589221782,98.2870309390661
Angle 45,147.667192233915,147.08027485245
Angle 45,196.619715446385,195.642408501038
Angle 45,245.43983596821,243.975195352023
Angle 45,294.129035464654,292.080368061413
Angle 45,342.68877044536,339.959629181502
Angle 45,391.120472835185,387.614651848003
Angle 45,439.425550528733,435.047080447529
Angle 45,487.605387929128,482.258531266118
Angle 45,535.661346471574,529.250593119425
Angle 45,583.594765132223,576.024827965227
Angle 45,631.406960922842,622.582771498831
Angle 45,679.099229371749,668.925933731949
Angle 45,726.672844991499,715.05579955561
Angle 45,774.129061733732,760.973829287623
Angle 45,821.469113431627,806.681459205113
Angle 45,868.694214230358,852.180102062614
Angle 45,915.80555900595,897.471147596191
Angle 45,962.80432377291,942.555963014039
Angle 45,1009.69166608099,987.435893474015
Angle 45,1056.46872540142,1032.11226254849
Angle 45,1103.13662350301,1076.58637267697
Angle 45,1149.69646481833,1120.85950560682
Angle 45,1196.14933680038,1164.93292282249
Angle 45,1242.49631027003,1208.80786596368
Angle 45,1288.73843975445,1252.48555723259
Angle 45,1334.8767638169,1295.96719979088
Angle 45,1380.9123053781,1339.25397814633
Angle 45,1426.84607202945,1382.34705852984
Angle 45,1472.67905633834,1425.2475892628
Angle 45,1518.41223614575,1467.95670111529
Angle 45,1564.04657485654,1510.47550765533
Angle 45,1609.58302172238,1552.80510558942
Angle 45,1655.02251211779,1594.94657509469
Angle 45,1700.36596780938,1636.90098014286
Angle 45,1745.61429721842,1678.66936881629
Angle 45,1790.76839567718,1720.25277361632
Angle 45,1835.82914567888,1761.65221176416
Angle 45,1880.79741712177,1802.86868549452
Angle 45,1925.67406754729,1843.90318234217
Angle 45,1970.45994237251,1884.75667542176
Angle 45,2015.15587511719,1925.43012370084
Angle 45,2059.76268762531,1965.92447226661
Angle 45,2104.28119028155,2006.24065258625
Angle 45,2148.71218222257,2046.37958276125
Angle 45,2193.0564515435,2086.34216777581
Angle 45,2237.31477549955,2126.12929973942
Angle 45,2281.48792070304,2165.74185812397
Angle 45,2325.57664331587,2205.1807099953
Angle 45,2369.58168923764,2244.44671023955
Angle 45,2413.50379428945,2283.54070178428
Angle 45,2457.34368439356,2322.46351581473
Angle 45,2501.10207574906,2361.21597198505
Angle 45,2544.77967500351,2399.79887862493
Angle 45,2588.37717942084,2438.21303294151
Angle 45,2631.89527704549,2476.45922121696
Angle 45,2675.3346468629,2514.53821900149
Angle 45,2718.69595895655,2552.45079130234
Angle 45,2761.97987466144,2590.19769276847
Angle 45,2805.18704671438,2627.77966787127
Angle 45,2848.3181194009,2665.19745108142
Angle 45,2891.373728699,2702.45176704182
Angle 45,2934.35450241992,2739.54333073688
Angle 45,2977.26106034576,2776.47284765818
Angle 45,3020.09401436425,2813.24101396658
Angle 45,3062.85396860063,2849.84851665089
Angle 45,3105.54151954676,2886.29603368323
Angle 45,3148.15725618756,2922.58423417107
Angle 45,3190.70176012468,2958.71377850614
Angle 45,3233.17560569773,2994.68531851018
Angle 45,3275.57936010292,3030.49949757776
Angle 45,3317.91358350925,3066.15695081601
Angle 45,3360.17882917237,3101.65830518165
Angle 45,3402.37564354602,3137.00417961503
Angle 45,3444.50456639125,3172.19518517161
Angle 45,3486.56613088345,3207.23192515063
Angle 45,3528.56086371713,3242.11499522126
Angle 45,3570.48928520869,3276.84498354621
Angle 45,3612.35190939704,3311.42247090282
Angle 45,3654.14924414224,3345.84803080174
Angle 45,3695.88179122226,3380.1222296033
Angle 45,3737.55004642767,3414.24562663152
Angle 45,3779.15449965457,3448.2187742859
Angle 45,3820.6956349957,3482.042218151
Angle 45,3862.17393082969,3515.71649710391
Angle 45,3903.58985990865,3549.24214341958
Angle 45,3944.94388944399,3582.61968287413
Angle 45,3986.23648119065,3615.84963484618
Angle 45,4027.46809152967,3648.93251241623
Angle 45,4068.63917154916,3681.86882246409
Angle 45,4109.75016712376,3714.65906576449
Angle 45,4150.80151899259,3747.30373708089
Angle 45,4191.79366283566,3779.80332525746
Angle 45,4232.72702934891,3812.15831330937
Angle 45,4273.60204431784,3844.36917851138
Angle 45,4314.41912868966,3876.43639248475
Angle 45,4355.17869864422,3908.36042128252
Angle 45,4395.88116566358,3940.14172547327
Angle 45,4436.52693660019,3971.78076022328
Angle 45,4477.11641374402,4003.27797537718
Angle 45,4517.64999488823,4034.6338155371
Angle 45,4558.1280733938,4065.84872014048
Angle 45,4598.55103825292,4096.92312353629
Angle 45,4638.9192741512,4127.85745506002
Angle 45,4679.23316152884,4158.65213910726
Angle 45,4719.49307664056,4189.30759520592
Angle 45,4759.69939161461,4219.8242380872
Angle 45,4799.85247451062,4250.20247775529
Angle 45,4839.95268937643,4280.4427195558
Angle 45,4880.00039630392,4310.54536424302
Angle 45,4919.99595148389,4340.51080804596
Angle 45,4959.93970725991,4370.33944273319
Angle 45,4999.83201218123,4400.03165567668
Angle 45,5039.67321105483,4429.58782991433
Angle 45,5079.46364499645,4459.00834421159
Angle 45,5119.20365148084,4488.2935731219
Angle 45,5158.89356439108,4517.44388704614
Angle 45,5198.53371406704,4546.45965229101
Angle 45,5238.12442735304,4575.34123112646
Angle 45,5277.66602764469,4604.08898184212
Angle 45,5317.15883493487,4632.70325880273
Angle 45,5356.60316585901,4661.1844125027
Angle 45,5395.99933373954,4689.53278961969
Angle 45,5435.34764862963,4717.7487330673
Angle 45,5474.64841735614,4745.83258204693
Angle 45,5513.90194356191,4773.78467209865
Angle 45,5553.10852774727,4801.60533515136
Angle 45,5592.26846731094,4829.29489957203
Angle 45,5631.38205659016,4856.85369021416
Angle 45,5670.44958690024,4884.28202846541
Angle 45,5709.47134657338,4911.5802322945
Angle 45,5748.4476209969,4938.74861629727
Angle 45,5787.37869265081,4965.78749174206
Angle 45,5826.26484114481,4992.6971666143
Angle 45,5865.10634325464,5019.47794566042
Angle 45,5903.90347295782,5046.130130431
Angle 45,5942.65650146891,5072.65401932327
Angle 45,5981.36569727408,5099.0499076229
Angle 45,6020.0313261652,5125.31808754516
Angle 45,6058.65365127335,5151.45884827536
Angle 45,6097.2329331018,5177.47247600872
Angle 45,6135.76942955849,5203.35925398955
Angle 45,6174.26339598792,5229.11946254984
Angle 45,6212.71508520262,5254.75337914727
Angle 45,6251.12474751409,5280.26127840256
Angle 45,6289.49263076319,5305.64343213629
Angle 45,6327.81898035017,5330.90010940514
Angle 45,6366.10403926414,5356.03157653751
Angle 45,6404.3480481121,5381.03809716872
Angle 45,6442.55124514752,5405.9199322755
Angle 45,6480.71386629849,5430.6773402101
Angle 45,6518.83614519545,5455.31057673378
Angle 45,6556.91831319839,5479.81989504985
Angle 45,6594.96059942379,5504.20554583614
Angle 45,6632.96323077098,5528.46777727708
Angle 45,6670.92643194827,5552.60683509518
Angle 45,6708.85042549849,5576.62296258214
Angle 45,6746.73543182432,5600.51640062942
Angle 45,6784.58166921311,5624.28738775837
Angle 45,6822.38935386138,5647.93616014996
Angle 45,6860.15869989897,5671.462951674
Angle 45,6897.88991941273,5694.86799391796
Angle 45,6935.58322246999,5718.15151621536
Angle 45,6973.23881714156,5741.31374567379
Angle 45,7010.85690952447,5764.35490720239
Angle 45,7048.43770376432,5787.27522353911
Angle 45,7085.98140207731,5810.07491527739
Angle 45,7123.48820477197,5832.75420089261
Angle 45,7160.95831027051,5855.31329676805
Angle 45,7198.39191512995,5877.75241722052
Angle 45,7235.78921406284,5900.07177452563
Angle 45,7273.15039995774,5922.27157894265
Angle 45,7310.47566389936,5944.35203873911
Angle 45,7347.76519518846,5966.31336021491
Angle 45,7385.0191813614,5988.15574772626
Angle 45,7422.23780820945,6009.87940370909
Angle 45,7459.42125979781,6031.48452870233
Angle 45,7496.56971848432,6052.97132137068
Angle 45,7533.68336493798,6074.33997852719
Angle 45,7570.76237815713,6095.59069515548
Angle 45,7607.80693548738,6116.72366443162
Angle 45,7644.81721263934,6137.73907774579
Angle 45,7681.79338370604,6158.63712472354
Angle 45,7718.7356211801,6179.41799324683
Angle 45,7755.64409597072,6200.08186947475
Angle 45,7792.51897742035,6220.62893786398
Angle 45,7829.36043332119,6241.05938118894
Angle 45,7866.16862993141,6261.37338056168
Angle 45,7902.94373199117,6281.57111545153
Angle 45,7939.68590273842,6301.65276370444
Angle 45,7976.39530392444,6321.61850156205
Angle 45,8013.07209582923,6341.46850368059
Angle 45,8049.71643727662,6361.20294314944
Angle 45,8086.3284856492,6380.82199150946
Angle 45,8122.90839690306,6400.32581877112
Angle 45,8159.45632558229,6419.71459343233
Angle 45,8195.9724248333,6438.98848249609
Angle 45,8232.45684641897,6458.14765148788
Angle 45,8268.90974073253,6477.1922644728
Angle 45,8305.33125681133,6496.12248407256
Angle 45,8341.7215423504,6514.93847148214
Angle 45,8378.08074371578,6533.64038648635
Angle 45,8414.40900595774,6552.22838747609
Angle 45,8450.70647282377,6570.70263146445
Angle 45,8486.97328677141,6589.06327410258
Angle 45,8523.2095889809,6607.31046969533
Angle 45,8559.41551936768,6625.44437121679
Angle 45,8595.5912165947,6643.46513032551
Angle 45,8631.73681808459,6661.37289737959
Angle 45,8667.85246003162,6679.16782145162
Angle 45,8703.93827741356,6696.85005034331
Angle 45,8739.99440400333,6714.41973060007
Angle 45,8776.02097238054,6731.87700752534
Angle 45,8812.01811394283,6749.22202519473
Angle 45,8847.98595891712,6766.45492647002
Angle 45,8883.92463637062,6783.57585301299
Angle 45,8919.83427422182,6800.58494529901
Angle 45,8955.71499925122,6817.48234263059
Angle 45,8991.56693711196,6834.26818315064
Angle 45,9027.39021234034,6850.94260385563
Angle 45,9063.18494836618,6867.50574060859
