Simulation:,Maximum Range
Trajectory,X,Y
Maximum Range,0,0
Maximum Range,48.4899328915199,50.1147954228392
Maximum Range,96.8452869320155,99.9925023548279
Maximum Range,145.067608775254,149.634988888394
Maximum Range,193.158418183586,199.044089898632
Maximum Range,241.119208653359,248.221607819969
Maximum Range,288.951448022024,297.169313400087
Maximum Range,336.656579057562,345.888946431882
Maximum Range,384.236020030875,394.382216464259
Maximum Range,431.69116527171,442.650803492472
Maximum Range,479.023385708703,490.696358628736
Maximum Range,526.234029394078,538.520504753777
Maximum Range,573.324422013537,586.124837149982
Maximum Range,620.295867381828,633.510924116764
Maximum Range,667.149647924494,680.680307568756
Maximum Range,713.88702514625,727.634503617394
Maximum Range,760.509240086446,774.375003136462
Maximum Range,807.01751376204,820.903272312116
Maximum Range,853.413047598492,867.220753177908
Maximum Range,899.697023848979,913.328864135305
Maximum Range,945.87060600231,959.22900046016
Maximum Range,991.934939179909,1004.92253479562
Maximum Range,1037.89115052221,1050.41081763187
Maximum Range,1083.74034956484,1095.69517777317
Maximum Range,1129.48362860481,1140.77692279259
Maximum Range,1175.12206305725,1185.65733947479
Maximum Range,1220.65671180266,1230.33769424727
Maximum Range,1266.08861752534,1274.81923360044
Maximum Range,1311.41880704294,1319.10318449685
Maximum Range,1356.64829162769,1363.1907547699
Maximum Range,1401.77806731933,1407.08313351243
Maximum Range,1446.80911523016,1450.78149145535
Maximum Range,1491.74240184239,1494.28698133685
Maximum Range,1536.57887929796,1537.60073826216
Maximum Range,1581.31948568127,1580.72388005453
Maximum Range,1625.96514529468,1623.65750759728
Maximum Range,1670.5167689274,1666.40270516753
Maximum Range,1714.97525411762,1708.96054076169
Maximum Range,1759.34148540833,1751.33206641295
Maximum Range,1803.61633459685,1793.5183185011
Maximum Range,1847.80066097838,1835.52031805478
Maximum Range,1891.89531158359,1877.3390710465
Maximum Range,1935.90112141063,1918.97556868054
Maximum Range,1979.8189136515,1960.43078767405
Maximum Range,2023.64949991315,2001.70569053139
Maximum Range,2067.39368043326,2042.80122581206
Maximum Range,2111.05224429103,2083.71832839229
Maximum Range,2154.62596961303,2124.45791972055
Maximum Range,2198.11562377416,2165.02090806708
Maximum Range,2241.52196359415,2205.40818876763
Maximum Range,2284.84573552933,2245.62064446164
Maximum Range,2328.08767586014,2285.6591453249
Maximum Range,2371.24851087433,2325.52454929693
Maximum Range,2414.32895704594,2365.21770230316
Maximum Range,2457.32972121032,2404.73943847214
Maximum Range,2500.25150073512,2444.09058034782
Maximum Range,2543.09498368759,2483.27193909706
Maximum Range,2585.86084899799,2522.28431471258
Maximum Range,2628.54976661945,2561.12849621133
Maximum Range,2671.16239768437,2599.80526182855
Maximum Range,2713.69939465723,2638.31537920749
Maximum Range,2756.1614014842,2676.65960558503
Maximum Range,2798.54905373937,2714.83868797326
Maximum Range,2840.86297876794,2752.85336333705
Maximum Range,2883.1037958262,2790.70435876791
Maximum Range,2925.27211621855,2828.39239165399
Maximum Range,2967.36854343162,2865.9181698465
Maximum Range,3009.3936732655,2903.28239182262
Maximum Range,3051.34809396215,2940.48574684486
Maximum Range,3093.2323863312,2977.52891511715
Maximum Range,3135.04712387301,3014.41256793762
Maximum Range,3176.79287289919,3051.13736784811
Maximum Range,3218.47019265064,3087.70396878073
Maximum Range,3260.0796354131,3124.11301620117
Maximum Range,3301.62174663031,3160.36514724923
Maximum Range,3343.09706501487,3196.46099087639
Maximum Range,3384.50612265684,3232.40116798051
Maximum Range,3425.84944513007,3268.18629153787
Maximum Range,3467.12755159643,3303.81696673248
Maximum Range,3508.34095490789,3339.29379108282
Maximum Range,3549.49016170658,3374.61735456596
Maximum Range,3590.5756725228,3409.78823973923
Maximum Range,3631.59798187115,3444.80702185948
Maximum Range,3672.55757834462,3479.67426899996
Maximum Range,3713.45494470696,3514.39054216484
Maximum Range,3754.29055798313,3548.95639540152
Maximum Range,3795.06488954801,3583.37237591073
Maximum Range,3835.77840521338,3617.63902415446
Maximum Range,3876.43156531316,3651.75687396182
Maximum Range,3917.02482478708,3685.72645263277
Maximum Range,3957.55863326264,3719.54828103996
Maximum Range,3998.03343513556,3753.22287372851
Maximum Range,4038.44966964865,3786.75073901394
Maximum Range,4078.80777096917,3820.13237907818
Maximum Range,4119.10816826477,3853.36829006382
Maximum Range,4159.35128577793,3886.45896216651
Maximum Range,4199.53754289902,3919.40487972567
Maximum Range,4239.66735423797,3952.20652131343
Maximum Range,4279.74112969465,3984.86435982202
Maximum Range,4319.75927452786,4017.37886254937
Maximum Range,4359.7221894231,4049.75049128329
Maximum Range,4399.63027055906,4081.97970238394
Maximum Range,4439.48390967285,4114.06694686493
Maximum Range,4479.28349412412,4146.01267047277
Maximum Range,4519.02940695789,4177.81731376505
Maximum Range,4558.72202696634,4209.48131218698
Maximum Range,4598.36172874944,4241.00509614678
Maximum Range,4637.9488827744,4272.38909108951
Maximum Range,4677.48385543422,4303.63371756965
Maximum Range,4716.967009105,4334.73939132241
Maximum Range,4756.39870220236,4365.70652333374
Maximum Range,4795.77928923682,4396.53551990901
Maximum Range,4835.10912086813,4427.22678274063
Maximum Range,4874.38854395871,4457.78070897435
Maximum Range,4913.61790162614,4488.19769127444
Maximum Range,4952.79753329469,4518.47811788772
Maximum Range,4991.92777474597,4548.6223727065
Maximum Range,5031.00895816872,4578.63083533032
Maximum Range,5070.04141220766,4608.5038811268
Maximum Range,5109.02546201157,4638.24188129124
Maximum Range,5147.9614292805,4667.84520290535
Maximum Range,5186.84963231219,4697.31420899486
Maximum Range,5225.69038604764,4726.64925858624
Maximum Range,5264.48400211597,4755.85070676237
