Simulation:,No Air Resistance
Trajectory,X,Y
Angle 45,0,0
Angle 45,49.4974746830583,49.4974746830583
Angle 45,98.9949493661167,98.8969493661166
Angle 45,148.492424049175,148.198424049175
Angle 45,197.989898732233,197.401898732233
Angle 45,247.487373415292,246.507373415292
Angle 45,296.98484809835,295.51484809835
Angle 45,346.482322781408,344.424322781408
Angle 45,395.979797464467,393.235797464467
Angle 45,445.477272147525,441.949272147525
Angle 45,494.974746830583,490.564746830583
Angle 45,544.472221513642,539.082221513642
Angle 45,593.9696961967,587.5016961967
Angle 45,643.467170879758,635.823170879758
Angle 45,692.964645562816,684.046645562816
Angle 45,742.462120245875,732.172120245875
Angle 45,791.959594928933,780.199594928933
Angle 45,841.457069611991,828.129069611991
Angle 45,890.95454429505,875.96054429505
Angle 45,940.452018978108,923.694018978108
Angle 45,989.949493661166,971.329493661166
Angle 45,1039.44696834422,1018.86696834422
Angle 45,1088.94444302728,1066.30644302728
Angle 45,1138.44191771034,1113.64791771034
Angle 45,1187.9393923934,1160.8913923934
Angle 45,1237.43686707646,1208.03686707646
Angle 45,1286.93434175952,1255.08434175952
Angle 45,1336.43181644257,1302.03381644257
Angle 45,1385.92929112563,1348.88529112563
Angle 45,1435.42676580869,1395.63876580869
Angle 45,1484.92424049175,1442.29424049175
Angle 45,1534.42171517481,1488.85171517481
Angle 45,1583.91918985787,1535.31118985787
Angle 45,1633.41666454092,1581.67266454092
Angle 45,1682.91413922398,1627.93613922398
Angle 45,1732.41161390704,1674.10161390704
Angle 45,1781.9090885901,1720.1690885901
Angle 45,1831.40656327316,1766.13856327316
Angle 45,1880.90403795622,1812.01003795622
Angle 45,1930.40151263927,1857.78351263927
Angle 45,1979.89898732233,1903.45898732233
Angle 45,2029.39646200539,1949.03646200539
Angle 45,2078.89393668845,1994.51593668845
Angle 45,2128.39141137151,2039.89741137151
Angle 45,2177.88888605457,2085.18088605456
Angle 45,2227.38636073762,2130.36636073762
Angle 45,2276.88383542068,2175.45383542068
Angle 45,2326.38131010374,2220.44331010374
Angle 45,2375.8787847868,2265.3347847868
Angle 45,2425.37625946986,2310.12825946986
Angle 45,2474.87373415292,2354.82373415291
Angle 45,2524.37120883597,2399.42120883597
Angle 45,2573.86868351903,2443.92068351903
Angle 45,2623.36615820209,2488.32215820209
Angle 45,2672.86363288515,2532.62563288515
Angle 45,2722.36110756821,2576.83110756821
Angle 45,2771.85858225127,2620.93858225126
Angle 45,2821.35605693433,2664.94805693432
Angle 45,2870.85353161738,2708.85953161738
Angle 45,2920.35100630044,2752.67300630044
Angle 45,2969.8484809835,2796.3884809835
Angle 45,3019.34595566656,2840.00595566655
Angle 45,3068.84343034962,2883.52543034961
Angle 45,3118.34090503268,2926.94690503267
Angle 45,3167.83837971574,2970.27037971573
Angle 45,3217.33585439879,3013.49585439879
Angle 45,3266.83332908185,3056.62332908185
Angle 45,3316.33080376491,3099.6528037649
Angle 45,3365.82827844797,3142.58427844796
Angle 45,3415.32575313103,3185.41775313102
Angle 45,3464.82322781409,3228.15322781408
Angle 45,3514.32070249714,3270.79070249714
Angle 45,3563.8181771802,3313.3301771802
Angle 45,3613.31565186326,3355.77165186325
Angle 45,3662.81312654632,3398.11512654631
Angle 45,3712.31060122938,3440.36060122937
Angle 45,3761.80807591244,3482.50807591243
Angle 45,3811.3055505955,3524.55755059549
Angle 45,3860.80302527855,3566.50902527854
Angle 45,3910.30049996161,3608.3624999616
Angle 45,3959.79797464467,3650.11797464466
Angle 45,4009.29544932773,3691.77544932772
Angle 45,4058.79292401079,3733.33492401078
Angle 45,4108.29039869385,3774.79639869384
Angle 45,4157.7878733769,3816.15987337689
Angle 45,4207.28534805996,3857.42534805995
Angle 45,4256.78282274302,3898.59282274301
Angle 45,4306.28029742608,3939.66229742607
Angle 45,4355.77777210914,3980.63377210913
Angle 45,4405.2752467922,4021.50724679218
Angle 45,4454.77272147526,4062.28272147524
Angle 45,4504.27019615831,4102.9601961583
Angle 45,4553.76767084137,4143.53967084136
Angle 45,4603.26514552443,4184.02114552442
Angle 45,4652.76262020749,4224.40462020747
Angle 45,4702.26009489055,4264.69009489053
Angle 45,4751.75756957361,4304.87756957359
Angle 45,4801.25504425667,4344.96704425665
Angle 45,4850.75251893972,4384.95851893971
Angle 45,4900.24999362278,4424.85199362276
Angle 45,4949.74746830584,4464.64746830582
Angle 45,4999.2449429889,4504.34494298888
Angle 45,5048.74241767196,4543.94441767194
Angle 45,5098.23989235502,4583.445892355
Angle 45,5147.73736703807,4622.84936703806
Angle 45,5197.23484172113,4662.15484172112
Angle 45,5246.73231640419,4701.36231640417
Angle 45,5296.22979108725,4740.47179108723
Angle 45,5345.72726577031,4779.48326577029
Angle 45,5395.22474045337,4818.39674045335
Angle 45,5444.72221513643,4857.21221513641
Angle 45,5494.21968981948,4895.92968981946
Angle 45,5543.71716450254,4934.54916450252
Angle 45,5593.2146391856,4973.07063918558
Angle 45,5642.71211386866,5011.49411386864
Angle 45,5692.20958855172,5049.8195885517
Angle 45,5741.70706323478,5088.04706323475
Angle 45,5791.20453791784,5126.17653791781
Angle 45,5840.70201260089,5164.20801260087
Angle 45,5890.19948728395,5202.14148728393
Angle 45,5939.69696196701,5239.97696196699
Angle 45,5989.19443665007,5277.71443665004
Angle 45,6038.69191133313,5315.3539113331
Angle 45,6088.18938601619,5352.89538601616
Angle 45,6137.68686069924,5390.33886069922
Angle 45,6187.1843353823,5427.68433538228
Angle 45,6236.68181006536,5464.93181006534
Angle 45,6286.17928474842,5502.08128474839
Angle 45,6335.67675943148,5539.13275943145
Angle 45,6385.17423411454,5576.08623411451
Angle 45,6434.6717087976,5612.94170879757
Angle 45,6484.16918348065,5649.69918348063
Angle 45,6533.66665816371,5686.35865816368
Angle 45,6583.16413284677,5722.92013284674
Angle 45,6632.66160752983,5759.3836075298
Angle 45,6682.15908221289,5795.74908221286
Angle 45,6731.65655689595,5832.01655689592
Angle 45,6781.15403157901,5868.18603157897
Angle 45,6830.65150626206,5904.25750626203
Angle 45,6880.14898094512,5940.23098094509
Angle 45,6929.64645562818,5976.10645562815
Angle 45,6979.14393031124,6011.88393031121
Angle 45,7028.6414049943,6047.56340499426
Angle 45,7078.13887967736,6083.14487967732
Angle 45,7127.63635436041,6118.62835436038
Angle 45,7177.13382904347,6154.01382904344
Angle 45,7226.63130372653,6189.3013037265
Angle 45,7276.12877840959,6224.49077840956
Angle 45,7325.62625309265,6259.58225309261
Angle 45,7375.12372777571,6294.57572777567
Angle 45,7424.62120245877,6329.47120245873
Angle 45,7474.11867714182,6364.26867714179
Angle 45,7523.61615182488,6398.96815182485
Angle 45,7573.11362650794,6433.5696265079
Angle 45,7622.611101191,6468.07310119096
Angle 45,7672.10857587406,6502.47857587402
Angle 45,7721.60605055712,6536.78605055708
Angle 45,7771.10352524018,6570.99552524014
Angle 45,7820.60099992323,6605.10699992319
Angle 45,7870.09847460629,6639.12047460625
Angle 45,7919.59594928935,6673.03594928931
Angle 45,7969.09342397241,6706.85342397237
Angle 45,8018.59089865547,6740.57289865543
Angle 45,8068.08837333853,6774.19437333848
Angle 45,8117.58584802158,6807.71784802154
Angle 45,8167.08332270464,6841.1433227046
Angle 45,8216.5807973877,6874.47079738766
Angle 45,8266.07827207076,6907.70027207072
Angle 45,8315.57574675382,6940.83174675378
Angle 45,8365.07322143687,6973.86522143683
Angle 45,8414.57069611993,7006.80069611989
Angle 45,8464.06817080299,7039.63817080295
Angle 45,8513.56564548605,7072.37764548601
Angle 45,8563.0631201691,7105.01912016906
Angle 45,8612.56059485216,7137.56259485212
Angle 45,8662.05806953522,7170.00806953518
Angle 45,8711.55554421828,7202.35554421824
Angle 45,8761.05301890134,7234.6050189013
Angle 45,8810.55049358439,7266.75649358435
Angle 45,8860.04796826745,7298.80996826741
Angle 45,8909.54544295051,7330.76544295047
Angle 45,8959.04291763357,7362.62291763353
Angle 45,9008.54039231662,7394.38239231659
Angle 45,9058.03786699968,7426.04386699964
Angle 45,9107.53534168274,7457.6073416827
Angle 45,9157.0328163658,7489.07281636576
Angle 45,9206.53029104885,7520.44029104882
Angle 45,9256.02776573191,7551.70976573188
Angle 45,9305.52524041497,7582.88124041494
Angle 45,9355.02271509803,7613.95471509799
Angle 45,9404.52018978108,7644.93018978105
Angle 45,9454.01766446414,7675.80766446411
Angle 45,9503.5151391472,7706.58713914717
Angle 45,9553.01261383026,7737.26861383022
Angle 45,9602.51008851331,7767.85208851328
Angle 45,9652.00756319637,7798.33756319634
Angle 45,9701.50503787943,7828.7250378794
Angle 45,9751.00251256249,7859.01451256246
Angle 45,9800.49998724554,7889.20598724551
Angle 45,9849.9974619286,7919.29946192857
Angle 45,9899.49493661166,7949.29493661163
Angle 45,9948.99241129472,7979.19241129469
Angle 45,9998.48988597778,8008.99188597775
Angle 45,10047.9873606608,8038.6933606608
Angle 45,10097.4848353439,8068.29683534386
Angle 45,10146.9823100269,8097.80231002692
Angle 45,10196.47978471,8127.20978470998
Angle 45,10245.9772593931,8156.51925939304
Angle 45,10295.4747340761,8185.7307340761
Angle 45,10344.9722087592,8214.84420875915
Angle 45,10394.4696834422,8243.85968344221
Angle 45,10443.9671581253,8272.77715812527
Angle 45,10493.4646328084,8301.59663280833
Angle 45,10542.9621074914,8330.31810749138
Angle 45,10592.4595821745,8358.94158217444
Angle 45,10641.9570568575,8387.4670568575
Angle 45,10691.4545315406,8415.89453154056
Angle 45,10740.9520062236,8444.22400622362
Angle 45,10790.4494809067,8472.45548090667
Angle 45,10839.9469555898,8500.58895558973
Angle 45,10889.4444302728,8528.62443027279
Angle 45,10938.9419049559,8556.56190495585
Angle 45,10988.4393796389,8584.40137963891
