Step,Time,NA,NB
0,0,100,0
1,0.1,99,1
2,0.2,98.02,1.98
3,0.3,97.0596,2.9404
4,0.4,96.118408,3.881592
5,0.5,95.19603984,4.80396016
6,0.6,94.2921190432,5.7078809568
7,0.7,93.406276662336,6.593723337664
8,0.8,92.5381511290893,7.46184887091072
9,0.9,91.6873881065075,8.31261189349251
10,1,90.8536403443773,9.14635965562266
11,1.1,90.0365675374898,9.9634324625102
12,1.2,89.23583618674,10.76416381326
13,1.3,88.4511194630052,11.5488805369948
14,1.4,87.6820970737451,12.3179029262549
15,1.5,86.9284551322702,13.0715448677298
16,1.6,86.1898860296248,13.8101139703752
17,1.7,85.4660883090323,14.5339116909677
18,1.8,84.7567665428516,15.2432334571483
19,1.9,84.0616312119946,15.9383687880054
20,2,83.3803985877547,16.6196014122453
21,2.1,82.7127906159996,17.2872093840004
22,2.2,82.0585348036796,17.9414651963204
23,2.3,81.417364107606,18.5826358923939
24,2.4,80.7890168254539,19.2109831745461
25,2.5,80.1732364889448,19.8267635110551
26,2.6,79.5697717591659,20.430228240834
27,2.7,78.9783763239826,21.0216236760174
28,2.8,78.398808797503,21.601191202497
29,2.9,77.8308326215529,22.1691673784471
30,3,77.2742159691219,22.7257840308781
31,3.1,76.7287316497394,23.2712683502606
32,3.2,76.1941570167446,23.8058429832554
33,3.3,75.6702738764097,24.3297261235903
34,3.4,75.1568683988815,24.8431316011185
35,3.5,74.6537310309039,25.3462689690961
36,3.6,74.1606564102858,25.8393435897142
37,3.7,73.6774432820801,26.3225567179199
38,3.8,73.2038944164385,26.7961055835615
39,3.9,72.7398165281097,27.2601834718902
40,4,72.2850201975476,27.7149798024524
41,4.1,71.8393197935966,28.1606802064034
42,4.2,71.4025333977247,28.5974666022753
43,4.3,70.9744827297702,29.0255172702298
44,4.4,70.5549930751748,29.4450069248252
45,4.5,70.1438932136713,29.8561067863287
46,4.6,69.7410153493978,30.2589846506021
47,4.7,69.3461950424099,30.6538049575901
48,4.8,68.9592711415617,31.0407288584383
49,4.9,68.5800857187305,31.4199142812695
50,5,68.2084840043559,31.7915159956441
51,5.1,67.8443143242687,32.1556856757313
52,5.2,67.4874280377834,32.5125719622166
53,5.3,67.1376794770277,32.8623205229723
54,5.4,66.7949258874871,33.2050741125129
55,5.5,66.4590273697374,33.5409726302626
56,5.6,66.1298468223427,33.8701531776573
57,5.7,65.8072498858958,34.1927501141042
58,5.8,65.4911048881779,34.5088951118221
59,5.9,65.1812827904143,34.8187172095857
60,5.99999999999999,64.877657134606,35.122342865394
61,6.09999999999999,64.5801039919139,35.4198960080861
62,6.19999999999999,64.2885019120756,35.7114980879244
63,6.29999999999999,64.0027318738341,35.9972681261659
64,6.39999999999999,63.7226772363574,36.2773227636426
65,6.49999999999999,63.4482236916303,36.5517763083697
66,6.59999999999999,63.1792592177977,36.8207407822023
67,6.69999999999999,62.9156740334417,37.0843259665583
68,6.79999999999999,62.6573605527729,37.3426394472271
69,6.89999999999999,62.4042133417174,37.5957866582825
70,6.99999999999999,62.1561290748831,37.8438709251169
71,7.09999999999999,61.9130064933854,38.0869935066146
72,7.19999999999999,61.6747463635177,38.3252536364823
73,7.29999999999999,61.4412514362474,38.5587485637526
74,7.39999999999999,61.2124264075224,38.7875735924776
75,7.49999999999999,60.988177879372,39.011822120628
76,7.59999999999999,60.7684143217845,39.2315856782155
77,7.69999999999999,60.5530460353488,39.4469539646512
78,7.79999999999999,60.3419851146419,39.6580148853581
79,7.89999999999999,60.135145412349,39.864854587651
80,7.99999999999999,59.932442504102,40.067557495898
81,8.09999999999999,59.73379365402,40.26620634598
82,8.19999999999999,59.5391177809396,40.4608822190604
83,8.29999999999999,59.3483354253208,40.6516645746792
84,8.39999999999999,59.1613687168144,40.8386312831856
85,8.49999999999999,58.9781413424781,41.0218586575219
86,8.59999999999999,58.7985785156285,41.2014214843715
87,8.69999999999999,58.622606945316,41.377393054684
88,8.79999999999998,58.4501548064096,41.5498451935904
89,8.89999999999998,58.2811517102814,41.7188482897185
90,8.99999999999998,58.1155286760758,41.8844713239242
91,9.09999999999998,57.9532181025543,42.0467818974457
92,9.19999999999998,57.7941537405032,42.2058462594968
93,9.29999999999998,57.6382706656932,42.3617293343068
94,9.39999999999998,57.4855052523793,42.5144947476207
95,9.49999999999998,57.3357951473317,42.6642048526683
96,9.59999999999998,57.1890792443851,42.8109207556149
97,9.69999999999998,57.0452976594974,42.9547023405026
98,9.79999999999998,56.9043917063074,43.0956082936926
99,9.89999999999998,56.7663038721813,43.2336961278187
100,9.99999999999998,56.6309777947377,43.3690222052623
101,10.1,56.4983582388429,43.5016417611571
102,10.2,56.368391074066,43.631608925934
103,10.3,56.2410232525847,43.7589767474153
104,10.4,56.116202787533,43.883797212467
105,10.5,55.9938787317824,44.0061212682176
106,10.6,55.8740011571467,44.1259988428533
107,10.7,55.7565211340038,44.2434788659962
108,10.8,55.6413907113237,44.3586092886763
109,10.9,55.5285628970972,44.4714371029028
110,11,55.4179916391553,44.5820083608447
111,11.1,55.3096318063722,44.6903681936278
112,11.2,55.2034391702447,44.7965608297553
113,11.3,55.0993703868398,44.9006296131601
114,11.4,54.997382979103,45.0026170208969
115,11.5,54.897435319521,45.102564680479
116,11.6,54.7994866131306,45.2005133868694
117,11.7,54.703496880868,45.296503119132
118,11.8,54.6094269432506,45.3905730567494
119,11.9,54.5172384043856,45.4827615956144
120,12,54.4268936362979,45.5731063637021
121,12.1,54.3383557635719,45.6616442364281
122,12.2,54.2515886483005,45.7484113516995
123,12.3,54.1665568753345,45.8334431246655
124,12.4,54.0832257378278,45.9167742621722
125,12.5,54.0015612230712,45.9984387769288
126,12.6,53.9215299986098,46.0784700013902
127,12.7,53.8430993986376,46.1569006013624
128,12.8,53.7662374106649,46.2337625893351
129,12.9,53.6909126624516,46.3090873375484
130,13,53.6170944092025,46.3829055907975
131,13.1,53.5447525210185,46.4552474789815
132,13.2,53.4738574705981,46.5261425294019
133,13.3,53.4043803211861,46.5956196788138
134,13.4,53.3362927147624,46.6637072852376
135,13.5,53.2695668604672,46.7304331395328
136,13.6,53.2041755232578,46.7958244767422
137,13.7,53.1400920127927,46.8599079872073
138,13.8,53.0772901725368,46.9227098274632
139,13.9,53.0157443690861,46.9842556309139
140,14,52.9554294817044,47.0445705182956
141,14.1,52.8963208920703,47.1036791079297
142,14.2,52.8383944742289,47.1616055257711
143,14.3,52.7816265847443,47.2183734152557
144,14.4,52.7259940530494,47.2740059469506
145,14.5,52.6714741719884,47.3285258280116
146,14.6,52.6180446885487,47.3819553114513
147,14.7,52.5656837947777,47.4343162052223
148,14.8,52.5143701188821,47.4856298811179
149,14.9,52.4640827165045,47.5359172834955
150,15,52.4148010621744,47.5851989378256
151,15.1,52.3665050409309,47.6334949590691
152,15.2,52.3191749401123,47.6808250598877
153,15.3,52.27279144131,47.72720855869
154,15.4,52.2273356124838,47.7726643875162
155,15.5,52.1827889002342,47.8172110997658
156,15.6,52.1391331222295,47.8608668777705
157,15.7,52.0963504597849,47.9036495402151
158,15.8,52.0544234505892,47.9455765494108
159,15.9,52.0133349815774,47.9866650184226
160,16,51.9730682819459,48.0269317180541
161,16.1,51.933606916307,48.066393083693
162,16.2,51.8949347779808,48.1050652220192
163,16.3,51.8570360824212,48.1429639175788
164,16.4,51.8198953607728,48.1801046392272
165,16.5,51.7834974535573,48.2165025464427
166,16.6,51.7478275044862,48.2521724955138
167,16.7,51.7128709543964,48.2871290456036
168,16.8,51.6786135353085,48.3213864646915
169,16.9,51.6450412646023,48.3549587353977
170,17,51.6121404393103,48.3878595606897
171,17.1,51.5798976305241,48.4201023694759
172,17.2,51.5482996779136,48.4517003220864
173,17.3,51.5173336843553,48.4826663156447
174,17.4,51.4869870106682,48.5130129893318
175,17.5,51.4572472704549,48.5427527295451
176,17.6,51.4281023250458,48.5718976749542
177,17.7,51.3995402785448,48.6004597214551
178,17.8,51.371549472974,48.628450527026
179,17.9,51.3441184835145,48.6558815164855
180,18,51.3172361138442,48.6827638861558
181,18.1,51.2908913915673,48.7091086084327
182,18.2,51.265073563736,48.734926436264
183,18.3,51.2397720924612,48.7602279075388
184,18.4,51.214976650612,48.785023349388
185,18.5,51.1906771175998,48.8093228824002
186,18.6,51.1668635752478,48.8331364247522
187,18.7,51.1435263037428,48.8564736962572
188,18.8,51.120655777668,48.879344222332
189,18.9,51.0982426621146,48.9017573378854
190,19,51.0762778088723,48.9237221911277
191,19.1,51.0547522526949,48.9452477473051
192,19.2,51.033657207641,48.966342792359
193,19.3,51.0129840634882,48.9870159365118
194,19.4,50.9927243822184,49.0072756177816
195,19.5,50.972869894574,49.027130105426
196,19.6,50.9534124966825,49.0465875033174
197,19.7,50.9343442467489,49.0656557532511
198,19.8,50.9156573618139,49.0843426381861
199,19.9,50.8973442145776,49.1026557854224
200,20,50.8793973302861,49.1206026697139
201,20.1,50.8618093836804,49.1381906163196
202,20.2,50.8445731960067,49.1554268039932
203,20.3,50.8276817320866,49.1723182679134
204,20.4,50.8111280974449,49.1888719025551
205,20.5,50.794905535496,49.205094464504
206,20.6,50.7790074247861,49.2209925752139
207,20.7,50.7634272762903,49.2365727237096
208,20.8,50.7481587307645,49.2518412692355
209,20.9,50.7331955561492,49.2668044438507
210,21,50.7185316450263,49.2814683549737
211,21.1,50.7041610121257,49.2958389878743
212,21.2,50.6900777918832,49.3099222081168
213,21.3,50.6762762360456,49.3237237639544
214,21.4,50.6627507113246,49.3372492886753
215,21.5,50.6494956970982,49.3505043029018
216,21.6,50.6365057831562,49.3634942168438
217,21.7,50.6237756674931,49.3762243325069
