Iteration,Time,Height,Displacement,Velocity
0,0,100,0,0
1,0.1,100,0,-0.98
2,0.2,99.902,0.097999999999999,-1.96
3,0.3,99.706,0.293999999999997,-2.94
4,0.4,99.412,0.587999999999994,-3.92
5,0.5,99.02,0.97999999999999,-4.9
6,0.6,98.53,1.46999999999998,-5.88
7,0.7,97.942,2.05799999999998,-6.86
8,0.8,97.256,2.74399999999999,-7.84
9,0.9,96.472,3.52799999999999,-8.82
10,1,95.59,4.41,-9.8
11,1.1,94.61,5.39,-10.78
12,1.2,93.532,6.468,-11.76
13,1.3,92.356,7.64400000000001,-12.74
14,1.4,91.082,8.91800000000001,-13.72
15,1.5,89.71,10.29,-14.7
16,1.6,88.24,11.76,-15.68
17,1.7,86.672,13.328,-16.66
18,1.8,85.006,14.994,-17.64
19,1.9,83.242,16.758,-18.62
20,2,81.38,18.62,-19.6
21,2.1,79.42,20.58,-20.58
22,2.2,77.362,22.638,-21.56
23,2.3,75.206,24.794,-22.54
24,2.4,72.952,27.048,-23.52
25,2.5,70.6,29.4,-24.5
26,2.6,68.15,31.85,-25.48
27,2.7,65.602,34.398,-26.46
28,2.8,62.956,37.044,-27.44
29,2.9,60.212,39.788,-28.42
30,3,57.37,42.63,-29.4
31,3.1,54.43,45.57,-30.38
32,3.2,51.392,48.608,-31.36
33,3.3,48.256,51.744,-32.34
34,3.4,45.022,54.978,-33.32
35,3.5,41.69,58.31,-34.3
36,3.6,38.26,61.74,-35.28
37,3.7,34.732,65.268,-36.26
38,3.8,31.106,68.894,-37.24
39,3.9,27.382,72.618,-38.22
40,4,23.56,76.44,-39.2
41,4.1,19.64,80.36,-40.18
42,4.2,15.622,84.378,-41.16
43,4.3,11.506,88.494,-42.14
44,4.4,7.29199999999999,92.708,-43.12
45,4.5,2.97999999999999,97.02,-44.1
46,4.6,-1.43,101.43,-45.08
