Iteration,Time,Height,Velocity
0,0.000,100.000,0.000
1,0.100,99.951,-0.980
2,0.200,99.804,-1.960
3,0.300,99.559,-2.940
4,0.400,99.216,-3.920
5,0.500,98.775,-4.900
6,0.600,98.236,-5.880
7,0.700,97.599,-6.860
8,0.800,96.864,-7.840
9,0.900,96.031,-8.820
10,1.000,95.100,-9.800
11,1.100,94.071,-10.780
12,1.200,92.944,-11.760
13,1.300,91.719,-12.740
14,1.400,90.396,-13.720
15,1.500,88.975,-14.700
16,1.600,87.456,-15.680
17,1.700,85.839,-16.660
18,1.800,84.124,-17.640
19,1.900,82.311,-18.620
20,2.000,80.400,-19.600
21,2.100,78.391,-20.580
22,2.200,76.284,-21.560
23,2.300,74.079,-22.540
24,2.400,71.776,-23.520
25,2.500,69.375,-24.500
26,2.600,66.876,-25.480
27,2.700,64.279,-26.460
28,2.800,61.584,-27.440
29,2.900,58.791,-28.420
30,3.000,55.900,-29.400
31,3.100,52.911,-30.380
32,3.200,49.824,-31.360
33,3.300,46.639,-32.340
34,3.400,43.356,-33.320
35,3.500,39.975,-34.300
36,3.600,36.496,-35.280
37,3.700,32.919,-36.260
38,3.800,29.244,-37.240
39,3.900,25.471,-38.220
40,4.000,21.600,-39.200
41,4.100,17.631,-40.180
42,4.200,13.564,-41.160
43,4.300,9.399,-42.140
44,4.400,5.136,-43.120
45,4.500,0.775,-44.100
46,4.600,-3.684,-45.080
