Step,Time,Population
0,0,1
1,0.001,1.007
2,0.002,1.014027853
3,0.003,1.02108337407002
4,0.004,1.02816637404031
5,0.005,1.0352766595026
6,0.006,1.04241403281249
7,0.007,1.0495782920932
8,0.008,1.05676923124043
9,0.009,1.06398663992855
10,0.01,1.07123030361799
11,0.011,1.07850000356401
12,0.012,1.08579551682658
13,0.013,1.09311661628177
14,0.014,1.10046307063421
15,0.015,1.10783464443106
16,0.016,1.11523109807717
17,0.017,1.12265218785159
18,0.018,1.13009766592544
19,0.019,1.1375672803811
20,0.02,1.14506077523273
21,0.021,1.15257789044813
22,0.022,1.16011836197196
23,0.023,1.16768192175033
24,0.024,1.17526829775668
25,0.025,1.18287721401911
26,0.026,1.19050839064897
27,0.027,1.19816154387084
28,0.028,1.20583638605392
29,0.029,1.21353262574466
30,0.03,1.22124996770087
31,0.031,1.22898811292705
32,0.032,1.23674675871117
33,0.033,1.24452559866273
34,0.034,1.25232432275218
35,0.035,1.26014261735163
36,0.036,1.26798016527695
37,0.037,1.27583664583111
38,0.038,1.28371173484889
39,0.039,1.29160510474281
40,0.04,1.29951642455045
41,0.041,1.30744535998292
42,0.042,1.31539157347473
43,0.043,1.32335472423477
44,0.044,1.33133446829865
45,0.045,1.3393304585822
46,0.046,1.34734234493617
47,0.047,1.35536977420215
48,0.048,1.36341239026971
49,0.049,1.37146983413459
50,0.05,1.37954174395811
51,0.051,1.38762775512772
52,0.052,1.3957275003186
53,0.053,1.40384060955634
54,0.054,1.41196671028079
55,0.055,1.42010542741077
56,0.056,1.42825638341
57,0.057,1.43641919835384
58,0.058,1.44459348999718
59,0.059,1.45277887384313
60,0.06,1.4609749632127
61,0.061,1.46918136931543
62,0.062,1.47739770132075
63,0.063,1.48562356643036
64,0.064,1.49385856995126
65,0.065,1.50210231536972
66,0.066,1.5103544044259
67,0.067,1.51861443718926
68,0.068,1.52688201213463
69,0.069,1.53515672621903
70,0.07,1.54343817495906
71,0.071,1.55172595250889
72,0.0720000000000001,1.56001965173891
73,0.0730000000000001,1.56831886431486
