Iteration,Time,Atoms
0,0,150
1,0.1,142.5
2,0.2,135.375
3,0.3,128.60625
4,0.4,122.1759375
5,0.5,116.067140625
6,0.6,110.26378359375
7,0.7,104.750594414062
8,0.8,99.5130646933594
9,0.9,94.5374114586914
10,1,89.8105408857568
11,1.1,85.320013841469
12,1.2,81.0540131493955
13,1.3,77.0013124919258
14,1.4,73.1512468673295
15,1.5,69.493684523963
16,1.6,66.0190002977648
17,1.7,62.7180502828766
18,1.8,59.5821477687328
19,1.9,56.6030403802961
20,2,53.7728883612813
21,2.1,51.0842439432173
22,2.2,48.5300317460564
23,2.3,46.1035301587536
24,2.4,43.7983536508159
25,2.5,41.6084359682751
26,2.6,39.5280141698614
27,2.7,37.5516134613683
28,2.8,35.6740327882999
29,2.9,33.8903311488849
30,3,32.1958145914406
31,3.1,30.5860238618686
32,3.2,29.0567226687752
33,3.3,27.6038865353364
34,3.4,26.2236922085696
35,3.5,24.9125075981411
36,3.6,23.6668822182341
37,3.7,22.4835381073223
38,3.8,21.3593612019562
39,3.9,20.2913931418584
40,4,19.2768234847655
41,4.1,18.3129823105272
42,4.2,17.3973331950009
43,4.3,16.5274665352508
44,4.4,15.7010932084883
45,4.5,14.9160385480639
46,4.6,14.1702366206607
47,4.7,13.4617247896276
48,4.8,12.7886385501463
49,4.9,12.1492066226389
50,5,11.541746291507
51,5.1,10.9646589769316
52,5.2,10.4164260280851
53,5.3,9.89560472668081
54,5.4,9.40082449034677
55,5.5,8.93078326582943
56,5.6,8.48424410253796
57,5.7,8.06003189741106
58,5.8,7.65703030254051
59,5.9,7.27417878741348
60,5.99999999999999,6.91046984804281
61,6.09999999999999,6.56494635564067
62,6.19999999999999,6.23669903785864
63,6.29999999999999,5.9248640859657
64,6.39999999999999,5.62862088166742
65,6.49999999999999,5.34718983758405
66,6.59999999999999,5.07983034570485
67,6.69999999999999,4.8258388284196
68,6.79999999999999,4.58454688699862
69,6.89999999999999,4.35531954264869
70,6.99999999999999,4.13755356551626
71,7.09999999999999,3.93067588724044
72,7.19999999999999,3.73414209287842
73,7.29999999999999,3.5474349882345
74,7.39999999999999,3.37006323882278
75,7.49999999999999,3.20156007688164
76,7.59999999999999,3.04148207303756
77,7.69999999999999,2.88940796938568
78,7.79999999999999,2.74493757091639
79,7.89999999999999,2.60769069237057
80,7.99999999999999,2.47730615775205
81,8.09999999999999,2.35344084986444
82,8.19999999999999,2.23576880737122
83,8.29999999999999,2.12398036700266
84,8.39999999999999,2.01778134865253
85,8.49999999999999,1.9168922812199
86,8.59999999999999,1.82104766715891
87,8.69999999999999,1.72999528380096
88,8.79999999999998,1.64349551961091
89,8.89999999999998,1.56132074363037
90,8.99999999999998,1.48325470644885
91,9.09999999999998,1.40909197112641
92,9.19999999999998,1.33863737257009
93,9.29999999999998,1.27170550394158
94,9.39999999999998,1.2081202287445
95,9.49999999999998,1.14771421730728
96,9.59999999999998,1.09032850644191
97,9.69999999999998,1.03581208111982
98,9.79999999999998,0.984021477063827
99,9.89999999999998,0.934820403210635
100,9.99999999999998,0.888079383050104
101,10.1,0.843675413897598
102,10.2,0.801491643202718
103,10.3,0.761417061042583
104,10.4,0.723346207990453
105,10.5,0.687178897590931
106,10.6,0.652819952711384
107,10.7,0.620178955075815
108,10.8,0.589170007322024
109,10.9,0.559711506955923
110,11,0.531725931608127
111,11.1,0.505139635027721
112,11.2,0.479882653276335
113,11.3,0.455888520612518
114,11.4,0.433094094581892
115,11.5,0.411439389852797
116,11.6,0.390867420360158
117,11.7,0.37132404934215
118,11.8,0.352757846875042
119,11.9,0.33511995453129
120,12,0.318363956804726
121,12.1,0.302445758964489
122,12.2,0.287323471016265
123,12.3,0.272957297465452
124,12.4,0.259309432592179
125,12.5,0.24634396096257
126,12.6,0.234026762914442
127,12.7,0.222325424768719
128,12.8,0.211209153530283
129,12.9,0.200648695853769
130,13,0.190616261061081
131,13.1,0.181085448008027
132,13.2,0.172031175607625
133,13.3,0.163429616827244
134,13.4,0.155258135985882
135,13.5,0.147495229186588
136,13.6,0.140120467727258
137,13.7,0.133114444340896
138,13.8,0.126458722123851
139,13.9,0.120135786017658
140,14,0.114128996716775
141,14.1,0.108422546880937
142,14.2,0.10300141953689
143,14.3,0.0978513485600453
144,14.4,0.092958781132043
145,14.5,0.0883108420754408
146,14.6,0.0838952999716688
147,14.7,0.0797005349730854
148,14.8,0.0757155082244311
149,14.9,0.0719297328132096
150,15,0.0683332461725491
