Step,Time,Position
0,0,0
1,0.1,2
2,0.2,4
3,0.3,6
4,0.4,8
5,0.5,10
6,0.6,12
7,0.7,14
8,0.8,16
9,0.9,18
10,1,20
11,1.1,22
12,1.2,24
13,1.3,26
14,1.4,28
15,1.5,30
16,1.6,32
17,1.7,34
18,1.8,36
19,1.9,38
20,2,40
21,2.1,42
22,2.2,44
23,2.3,46
24,2.4,48
25,2.5,50
26,2.6,52
27,2.7,54
28,2.8,56
29,2.9,58
30,3,60
31,3.1,62
32,3.2,64
33,3.3,66
34,3.4,68
35,3.5,70
36,3.6,72
37,3.7,74
38,3.8,76
39,3.9,78
40,4,80
41,4.1,82
42,4.2,84
43,4.3,86
44,4.4,88
45,4.5,90
46,4.6,92
47,4.7,94
48,4.8,96
49,4.9,98
50,5,100
51,5.1,102
52,5.2,104
53,5.3,106
54,5.4,108
55,5.5,110
56,5.6,112
57,5.7,114
58,5.8,116
59,5.9,118
60,6,120
61,6.1,122
62,6.2,124
63,6.3,126
64,6.4,128
65,6.5,130
66,6.6,132
67,6.7,134
68,6.8,136
69,6.9,138
70,7,140
71,7.1,142
72,7.2,144
73,7.3,146
74,7.4,148
75,7.5,150
76,7.6,152
77,7.7,154
78,7.8,156
79,7.9,158
80,8,160
81,8.1,162
82,8.2,164
83,8.3,166
84,8.4,168
85,8.5,170
86,8.6,172
87,8.7,174
88,8.8,176
89,8.9,178
90,9,180
91,9.1,182
92,9.2,184
93,9.3,186
94,9.4,188
95,9.5,190
96,9.6,192
97,9.7,194
98,9.8,196
99,9.9,198
100,10,200
